feature,n_folds_selected,selection_frequency
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t48_t72,4,0.14285714285714285
original_firstorder_Skewness_std,3,0.10714285714285714
original_firstorder_InterquartileRange_t24,3,0.10714285714285714
original_firstorder_RootMeanSquared_t72,3,0.10714285714285714
original_firstorder_MeanAbsoluteDeviation_t48,3,0.10714285714285714
original_ngtdm_Contrast_t48,3,0.10714285714285714
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t0_t24,3,0.10714285714285714
original_shape2D_Elongation_slope_t0_t24,3,0.10714285714285714
original_shape2D_Elongation_delta_t0_t24,3,0.10714285714285714
original_shape2D_Elongation_slope,3,0.10714285714285714
original_firstorder_90Percentile_slope_t0_t24,3,0.10714285714285714
original_firstorder_Kurtosis_delta_t0_t24,3,0.10714285714285714
original_shape2D_MinorAxisLength_delta_t0_t24,3,0.10714285714285714
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t0_t24,3,0.10714285714285714
original_shape2D_MeshSurface_delta_t0_t24,3,0.10714285714285714
original_gldm_DependenceNonUniformityNormalized_delta_t48_t72,3,0.10714285714285714
original_shape2D_MinorAxisLength_delta_t24_t48,3,0.10714285714285714
original_gldm_DependenceNonUniformityNormalized_slope_t48_t72,3,0.10714285714285714
original_gldm_DependenceVariance_slope_t48_t72,3,0.10714285714285714
original_firstorder_90Percentile_delta_t0_t24,3,0.10714285714285714
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t0_t24,3,0.10714285714285714
original_ngtdm_Contrast_delta_t48_t72,3,0.10714285714285714
original_shape2D_MeshSurface_slope_t0_t24,3,0.10714285714285714
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope,2,0.07142857142857142
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta,2,0.07142857142857142
original_shape2D_MajorAxisLength_t24,2,0.07142857142857142
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t0_t24,2,0.07142857142857142
original_firstorder_90Percentile_t72,2,0.07142857142857142
original_firstorder_90Percentile_delta,2,0.07142857142857142
original_shape2D_Sphericity_delta_t48_t72,2,0.07142857142857142
original_firstorder_Energy_slope_t48_t72,2,0.07142857142857142
original_ngtdm_Contrast_delta_t24_t48,2,0.07142857142857142
original_gldm_SmallDependenceHighGrayLevelEmphasis_t48,2,0.07142857142857142
original_shape2D_MinorAxisLength_slope_t0_t24,2,0.07142857142857142
original_ngtdm_Contrast_slope_t24_t48,2,0.07142857142857142
original_shape2D_Perimeter_slope_t0_t24,2,0.07142857142857142
original_gldm_DependenceVariance_t72,2,0.07142857142857142
original_shape2D_MinorAxisLength_slope,2,0.07142857142857142
original_shape2D_PerimeterSurfaceRatio_std,2,0.07142857142857142
original_firstorder_90Percentile_std,2,0.07142857142857142
original_firstorder_Energy_t72,2,0.07142857142857142
original_firstorder_InterquartileRange_mean,2,0.07142857142857142
original_shape2D_Sphericity_slope_t48_t72,2,0.07142857142857142
original_glrlm_RunLengthNonUniformityNormalized_delta_t48_t72,2,0.07142857142857142
original_glrlm_RunLengthNonUniformityNormalized_t72,2,0.07142857142857142
original_gldm_DependenceVariance_t48,2,0.07142857142857142
original_shape2D_Perimeter_t24,2,0.07142857142857142
original_ngtdm_Contrast_std,2,0.07142857142857142
original_shape2D_MeshSurface_t24,2,0.07142857142857142
original_firstorder_90Percentile_t48,1,0.03571428571428571
original_glrlm_RunLengthNonUniformityNormalized_t48,1,0.03571428571428571
original_firstorder_Skewness_t72,1,0.03571428571428571
original_firstorder_90Percentile_slope,1,0.03571428571428571
original_firstorder_RootMeanSquared_delta_t24_t48,1,0.03571428571428571
original_firstorder_90Percentile_t0,1,0.03571428571428571
original_gldm_SmallDependenceHighGrayLevelEmphasis_t72,1,0.03571428571428571
original_shape2D_MinorAxisLength_delta,1,0.03571428571428571
original_shape2D_Perimeter_delta_t0_t24,1,0.03571428571428571
original_glrlm_RunLengthNonUniformityNormalized_slope_t48_t72,1,0.03571428571428571
original_firstorder_RootMeanSquared_slope_t24_t48,0,0.0
original_firstorder_Energy_delta_t48_t72,0,0.0
original_gldm_DependenceNonUniformityNormalized_t48,0,0.0
terminal_timepoint,0,0.0
